filename;start_time;end_time;orbit
C03/2022/01/S5p_SO2-COBRA_22274.nc;2022-01-30 09:35:55.758;2022-01-30 09:41:01.511;22274
C03/2022/01/S5p_SO2-COBRA_22275.nc;2022-01-30 11:16:26.384;2022-01-30 11:23:17.134;22275
C03/2022/01/S5p_SO2-COBRA_22276.nc;2022-01-30 12:57:56.648;2022-01-30 13:04:47.399;22276
C03/2022/01/S5p_SO2-COBRA_22277.nc;2022-01-30 14:39:25.833;2022-01-30 14:45:09.385;22277
C03/2022/01/S5p_SO2-COBRA_22288.nc;2022-01-31 09:18:22.613;2022-01-31 09:22:43.848;22288
C03/2022/01/S5p_SO2-COBRA_22289.nc;2022-01-31 10:57:26.961;2022-01-31 11:04:20.232;22289
C03/2022/01/S5p_SO2-COBRA_22290.nc;2022-01-31 12:38:55.066;2022-01-31 12:45:50.856;22290
C03/2022/01/S5p_SO2-COBRA_22291.nc;2022-01-31 14:20:24.730;2022-01-31 14:26:30.962;22291
C03/2022/01/S5p_SO2-COBRA_22292.nc;2022-01-31 16:01:54.754;2022-01-31 16:04:23.431;22292
C03/2022/02/S5p_SO2-COBRA_22302.nc;2022-02-01 09:00:45.388;2022-02-01 09:03:44.304;22302
C03/2022/02/S5p_SO2-COBRA_22303.nc;2022-02-01 10:38:24.418;2022-02-01 10:45:16.848;22303
C03/2022/02/S5p_SO2-COBRA_22304.nc;2022-02-01 12:19:52.642;2022-02-01 12:26:32.473;22304
C03/2022/02/S5p_SO2-COBRA_22305.nc;2022-02-01 14:01:22.547;2022-02-01 14:08:02.378;22305
C03/2022/02/S5p_SO2-COBRA_22306.nc;2022-02-01 15:42:52.571;2022-02-01 15:47:28.925;22306
C03/2022/02/S5p_SO2-COBRA_22316.nc;2022-02-02 08:44:06.121;2022-02-02 08:44:29.641;22316
C03/2022/02/S5p_SO2-COBRA_22317.nc;2022-02-02 10:19:30.994;2022-02-02 10:26:25.105;22317
C03/2022/02/S5p_SO2-COBRA_22318.nc;2022-02-02 12:00:50.939;2022-02-02 12:07:56.809;22318
C03/2022/02/S5p_SO2-COBRA_22319.nc;2022-02-02 13:42:21.443;2022-02-02 13:49:23.954;22319
C03/2022/02/S5p_SO2-COBRA_22320.nc;2022-02-02 15:23:50.748;2022-02-02 15:28:58.181;22320
C03/2022/02/S5p_SO2-COBRA_22331.nc;2022-02-03 10:00:45.490;2022-02-03 10:07:30.361;22331
C03/2022/02/S5p_SO2-COBRA_22332.nc;2022-02-03 11:41:49.715;2022-02-03 11:48:59.785;22332
C03/2022/02/S5p_SO2-COBRA_22333.nc;2022-02-03 13:23:19.739;2022-02-03 13:30:28.969;22333
C03/2022/02/S5p_SO2-COBRA_22334.nc;2022-02-03 15:04:49.403;2022-02-03 15:10:22.036;22334
C03/2022/02/S5p_SO2-COBRA_22345.nc;2022-02-04 09:42:08.145;2022-02-04 09:48:33.696;22345
C03/2022/02/S5p_SO2-COBRA_22346.nc;2022-02-04 11:22:48.130;2022-02-04 11:29:30.481;22346
C03/2022/02/S5p_SO2-COBRA_22347.nc;2022-02-04 13:04:17.794;2022-02-04 13:11:34.584;22347
C03/2022/02/S5p_SO2-COBRA_22348.nc;2022-02-04 14:45:47.819;2022-02-04 14:51:44.810;22348
C03/2022/02/S5p_SO2-COBRA_22359.nc;2022-02-05 09:23:36.319;2022-02-05 09:29:27.431;22359
C03/2022/02/S5p_SO2-COBRA_22360.nc;2022-02-05 11:03:45.945;2022-02-05 11:11:07.775;22360
C03/2022/02/S5p_SO2-COBRA_22361.nc;2022-02-05 12:45:15.969;2022-02-05 12:52:08.400;22361
